Field,DS_Category,Final_Price
ard_revenues,Fundamentals,2.275
ard_total_operating_expenses,Fundamentals,2.275
ard_cost_of_goods_sold,Fundamentals,2.275
ard_pref_dvd_of_subsidiaries,Fundamentals,2.275
ard_amort_exp,Fundamentals,2.275
ard_r&d_expenditures,Fundamentals,2.275
ard_sales_mkt_advertising_exp,Fundamentals,2.275
ard_salaries_wage_employee_ben,Fundamentals,2.275
ard_depreciation_exp,Fundamentals,2.275
ard_selling_general_admin_exp,Fundamentals,2.275
ard_prov_for_doubtful_accts,Fundamentals,2.275
ard_depreciation_amortization,Fundamentals,2.275
ard_other_operating_expenses,Fundamentals,2.275
ard_int_exp,Fundamentals,2.275
ard_foreign_exchange,Fundamentals,2.275
ard_acquired_in_process_r&d,Fundamentals,2.275
ard_gl_on_sale_of_assets,Fundamentals,2.275
ard_tot_noncurrent_liabilities,Fundamentals,2.275
ard_writedown_impair_of_assets,Fundamentals,2.275
ard_restructuring_charges,Fundamentals,2.275
ard_other_one_time_charges,Fundamentals,2.275
ard_eqy_in_earn_affiliate_jv,Fundamentals,2.275
ard_int_income,Fundamentals,2.275
ard_total_capitalization,Fundamentals,2.275
ard_interest_income_net,Fundamentals,2.275
ard_int_exp_net,Fundamentals,2.275
ard_other_non_operating_inc,Fundamentals,2.275
ard_other_non_operating_exp,Fundamentals,2.275
ard_income_tax_exp_benefit,Fundamentals,2.275
ard_gl_early_ext_of_debt_net,Fundamentals,2.275
ard_cum_effect_of_acct_chg_net,Fundamentals,2.275
ard_disc_ops_loss_ben_net,Fundamentals,2.275
ard_other_xo_items_net,Fundamentals,2.275
ard_other_assets_other,Fundamentals,2.275
ard_tax_effect_on_xo_items,Fundamentals,2.275
ard_minority_noncontrol_interest,Fundamentals,2.275
ard_net_inc,Fundamentals,2.275
ard_unrealized_gl_on_secs,Fundamentals,2.275
ard_chg_fair_val_of_derivatives,Fundamentals,2.275
ard_reclass_adjustments,Fundamentals,2.275
ard_inc_tax_relate_to_comp_inc,Fundamentals,2.275
ard_other_comprehensive_income,Fundamentals,2.275
ard_cash_and_equivalents,Fundamentals,2.275
ard_marketable_securities,Fundamentals,2.275
ard_accts_receivable_trade,Fundamentals,2.275
ard_inventory,Fundamentals,2.275
ard_prepaid_expenses_st,Fundamentals,2.275
ard_prepaid_exp_and_other,Fundamentals,2.275
ard_restricted_cash_st,Fundamentals,2.275
ard_deferred_inc_tax_asset_st,Fundamentals,2.275
ard_assets_held_for_sale,Fundamentals,2.275
ard_other_current_assets,Fundamentals,2.275
ard_non_cur_mkt_sec,Fundamentals,2.275
ard_lt_invest,Fundamentals,2.275
ard_notes_receivable_lt,Fundamentals,2.275
ard_notes_rec_aff_nontrade_lt,Fundamentals,2.275
ard_land_bs,Fundamentals,2.275
ard_building,Fundamentals,2.275
ard_land_and_buildings,Fundamentals,2.275
ard_leasehold_improvements,Fundamentals,2.275
ard_construction_in_progress,Fundamentals,2.275
ard_furniture_machinery_equip,Fundamentals,2.275
ard_property_plant_equip_gross,Fundamentals,2.275
ard_accumulated_deprec,Fundamentals,2.275
ard_property_plant_equip_net,Fundamentals,2.275
ard_deferred_inc_tax_asset_lt,Fundamentals,2.275
ard_total_intangible_asset_net,Fundamentals,2.275
ard_other_intangible_asset,Fundamentals,2.275
ard_investment_in_affiliate_jv,Fundamentals,2.275
ard_prepaid_pen_postretire_ben,Fundamentals,2.275
